职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
Python高级开发工程师,颉一软件科技有限公司,2.5-3万/月,五险一金交通补贴餐饮补贴通讯补贴绩效奖金年终奖金股票期权弹性工作,广州-天河区|3-4年经验|本科|招4人|03-13发布|计算机科学软件工程,工作要求：1.负责颉一安全监控，超融合数据平台等产品设计和实现，确保效率和智能是未来颉一产品的核心组成部分2.负责开发和单元测试，分析、部署和跟踪云架构领域的新系统3.编写软件工具清理和挖掘大型杂乱的结构化和非结构化数据4.使用大数据架构实现分布式数据接入和敏捷虚拟化任职要求：1.工作积极主动，学习能力强2.计算机科学，计算机工程，数学，或同等的实践经验3.3~5年经验：C/C++/Java/Python（同时有多种经验者优先考虑）4.精通网络编程，熟练使用多进程和多线程5.熟悉数据库技术，Oracle，DB2、SQLServer，Informix、Mysql、PostgreSql精通一种或多种优先6.精通Linux系统结构，并熟练使用各种linux操作系统命令7.具备良好的编程习惯，熟悉DevOps基本流程，熟练使用git等常用质量管理工具8.具备良好的沟通能力和团队合作精神9.条理清晰，注重细节，务实大观中路95号科汇园E座颉一软件科技有限公司民营公司50-150人,高级软件工程师PythonLinuxoracle,大观中路95号科汇园E座
Python爬虫工程师,Fordeal,1.5-3万/月,五险一金餐饮补贴不打卡BAT团队,广州-海珠区|2年经验|本科|招若干人|03-13发布,"职位描述：岗位职责：1、负责设计和开发分布式网络爬虫系统，进行淘宝、1688等电商平台信息的抓取和分析;2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、负责爬虫逻辑的开发，快速响应业务变动。任职要求：1、具有1年以上爬虫开发经验，精通python，熟练使用多线程，熟悉常用的爬虫框架；2、对数据结构和算法设计有较为深刻的理解，具有良好的沟通能力和团队合作意识；3、熟悉正则表达式，Jsoup、XPATH，CSS选择器，能够从结构化和非机构化的数据中获取信息,了解各种Web前端技术，包括HTML／XML／JavaScript／AJAX／JSON等；4、拥抱新技术，有很强的学习能力。广州市海珠区新港东路148号环球贸易中心27楼Fordeal民营公司1000-5000人",软件工程师,广州市海珠区新港东路148号环球贸易中心27楼
python讲师,北京千锋互联科技有限公司广州分公司,2-3万/月,,广州-天河区|2年经验|本科|招1人|03-13发布,"一：岗位职责：1、负责Python课程体系设计和完善；2、负责Python课程爬虫、数据分析、网站开发的讲授；3、完成领导交办的其它工作。任职要求：1.至少2年以上Python编程经验；2.熟练运用Python语言及常用模块；3.熟练django等常用开发框架；4.熟练Mysql,oracle数据库中任何一种；5.熟练HTTP,Javascript,HTML。6.熟练树莓派设备python开发7.熟练python机器学习实战8.精通Linux下Shell、Python两种脚本语言；9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等广州市天河区元岗路310号智汇创意园E座501室北京千锋互联科技有限公司广州分公司民营公司150-500人",讲师/助教高级软件工程师python讲师开发工程师,广州市天河区元岗路310号智汇创意园E座501室
python开发工程师（人工智能）,中移互联网有限公司,15-40万/年,五险一金餐饮补贴定期体检通讯补贴专业培训免费班车员工旅游绩效奖金年终奖金交通补贴,广州|2年经验|本科|招1人|03-13发布,"1、负责数据模型建模，设计和开发AI深度学习方面相关应用。2、负责产品上线时服务器的安装/部署/调试/优化。3、协助产品上线后远程解决业务出现的问题。4、负责监控、优化数据库性能，数据备份与恢复,数据迁移。保证服务器安全。1、有良好的计算机技术基础，熟悉常用算法与数据结构；熟悉Linux系统环境搭建，熟练掌握shell。2、深入了解Python环境搭建和语言编写，熟悉深度学习算法、多线程和webservice编程。有项目开发经验优先。3、了解Python数据库开发和常见数据库，熟悉mysql、sqlserver，有相关开发经验。4.2年及以上相关工作经验广州市天河区高唐路333号中国移动南方基地中移互联网有限公司国企500-1000人",高级软件工程师算法工程师python深度学习多线程webservicemysqlsqlserver深度学习模型,广州市天河区高唐路333号中国移动南方基地
Python后台开发工程师,广州游爱网络技术有限公司,7-9千/月,六险一金专业培训绩效奖金年终奖金交通补贴定期体检提供三餐五天工作制,广州|1年经验|大专|招1人|03-13发布,"岗位职责：1.负责游戏后台,开发,优化及维护；2.sdk服务端的接入工作；3.渠道平台开发,维护。职位要求：1.熟悉python编程,一年或以上python游戏后台开发经验；2熟悉django,tornado,web.py等WEB框架；3.掌握前端技术包括html/javascript/css/jquery/ajax；4.熟悉linux系统环境；5.熟悉MYSQL,mongodb,redis等数据库操作,熟练手写sql语句。天河区龙口东路129号龙泽商业大厦19楼广州游爱网络技术有限公司上市公司500-1000人",多媒体/游戏开发工程师pythondjango,天河区龙口东路129号龙泽商业大厦19楼
Python开发工程师(双休）,深圳市德科信息技术有限公司,0.8-1.2万/月,,广州-天河区|1年经验|本科|招3人|03-13发布,负责游戏中UI逻辑开发与维护；任职要求：良好的职业道德，工作积极上进，沟通顺畅；有较好的开发能力，代码编写规范、完备、有条理；有Python或者C/C++相关开发经验者优先；有UI界面开发经验者优先;珠江新城侨鑫国际深圳市德科信息技术有限公司合资1000-5000人,软件工程师,珠江新城侨鑫国际
Python开发工程师,广州市云家居云科技有限公司,0.6-1万/月,五险一金年终奖金专业培训员工旅游,广州-番禺区|1年经验|大专|招3人|03-13发布|英语良好,"任职要求：1、全日制相关专业大专及以上学历，1年及以上相关工作经验；2、熟悉python编程语言，有完整项目经验者优先,能独立完成项目构架;3、能独立完成python模块开发，熟悉python模块编写的一些规范;4、经验具备系统架构设计能力，有独立设计开发项目经验者优先；5、有较强的分析问题与独立解决问题的能力，良好的沟通能力及团队合作精神.职责描述：1．参与公司核心系统项目的开发工作；2．能够根据项目的实际需要，进行技术方案的分析、选型；3．保证系统稳健，代码质量，持续提供改进性建议并且实施【福利简介】1、工作时间：周一至周五9：00～18:00，午休1个半小时，双休日；2、休假：除法定节假日之外，工作一年以上可享受带薪年休假；3、员工依法享受各种国家法定假期（元旦、春节、清明、五一、十一、端午节、中秋节等)；4、每年都有全体员工旅游计划；5、每一位公司正式员工都可享有完善的社会保险福利及年假、婚假、产假等；6、年终双薪。大石街道石北工业路684号（巨大创意产业园）12栋西塔1307广州市云家居云科技有限公司民营公司50-150人",软件工程师Python开发,大石街道石北工业路684号（巨大创意产业园）12栋西塔1307
Python开发工程师,广州寄锦教育科技有限公司,1-1.5万/月,五险一金员工旅游餐饮补贴定期体检绩效奖金,广州-天河区|2年经验|本科|招1人|03-13发布,石牌桥丰兴广场B座2306-2309（太古汇对面）广州寄锦教育科技有限公司民营公司150-500人,软件工程师互联网软件开发工程师python,石牌桥丰兴广场B座2306-2309（太古汇对面）
Python高级软件工程师,广州英荔教育科技有限公司,1.5-2.5万/月,,广州-天河区|3-4年经验|本科|招2人|03-13发布,"1.基于edX开源项目，使用Python语言，Django框架开发功能；2.在线教育网站开发和维护；3.直播平台(教育行业)的开发及维护；4.按照项目计划，按时提交高质量的代码，完成开发任务；5.积极参与工作相关技术的研究。任职资格：1.大专以上学历，2年以上开发经验，一年以上Python开发经验；2.精通LNMP（Python）架构下的程序开发，用Python开发过项目并上线；3.熟悉关系型数据库操作，拥有/Mysql/MongoDB/Memcached/Redis之一的使用经验；4.熟练掌握Django框架，了解jQuery、Smarty,Memcached,Redis、CSS等技术；5.具有Linux/Unix下开发经验；6.具备良好的职业素养和团队协作精神，以及较强的学习和交流能力；7.熟悉Git，有开源项目贡献者优先。中信广场广州英荔教育科技有限公司外资（欧美）50-150人",软件工程师高级软件工程师,中信广场
云平台 python 高级开发工程师,广东紫晶信息存储技术股份有限公司,1.5-2万/月,五险一金出国机会绩效奖金股票期权餐饮补贴补充医疗保险周末双休,广州-番禺区|3-4年经验|本科|招5人|03-13发布,岗位职责：1、开发云存储应用程序、服务端程序及管理系统2、参与云平台系统需求分析，架构设计并提出解决方案3、维护现有软件、代码Review，检查同组其他成员的代码工作要求：*精通Python语言，3年以上Python开发相关工作经验。*熟悉Java，有Java相关项目经验者优先。*熟悉linux操作系统、shell脚本编程。*了解OpenStack、Hadoop等云存储工具者优先。*有存储系统、文件系统开发相关经验者优先。*有多线程、高并发服务器开发经验者优先。*良好代码规范、适当的注释。*态度良好，有owner精神。工作环境及员工福利：1、公司临近地铁，生活交通便利；2、公司为每个员工免费提供午餐，需要加班同事可同样享有晚餐；3、公司不定期组织旅游，打球，聚餐等娱乐活动；4、享有五险一金，带薪年假，节日礼金，免费下午茶等福利；5、提供公平晋升通道；6、工作环境舒适，公司氛围好，同事关系融洽；7、周末双休。广州市番禺区东环街番禺大道北555号天安总部中心23号楼广东紫晶信息存储技术股份有限公司民营公司150-500人,高级软件工程师软件工程师云平台pythonJavaLinux,广州市番禺区东环街番禺大道北555号天安总部中心23号楼
