职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
咨询专员（长岭居校区）,广州粤嵌通信科技股份有限公司,4-6千/月,,广州-黄埔区|无工作经验|大专|招3人|03-13发布,通过电话和面对面与家长沟通，为学员家长提供专业咨询与服务，并有效促成课程销售；2、保持与已签约家长的良好关系，进行保单，续费，引导和推荐；3、收集潜在的学员信息，对有意向的学员定期做好跟踪回访；4、维护客户满意度，按时完成校区下达的销售任务；5、完成校区负责人交办的各项工作。任职要求：1、大专或以上学历，专业不限；有幼儿培训机构同等岗位经验者优先；2、具备良好的沟通和交际能力，乐于接受挑战，具备一定的抗压能力；4、具备良好的团队合作精神，吃苦耐劳，能灵活适应工作时间。广州市黄埔区永顺大道岭南林语商业街林逸街6号广州粤嵌通信科技股份有限公司上市公司500-1000人,培训/课程顾问咨询员咨询师课程顾问招生,广州市黄埔区永顺大道岭南林语商业街林逸街6号
审核文员,广州国通信息科技有限公司,3.5-5千/月,周末双休五险一金节日福利全勤奖专业培训带薪年假,广州-天河区|无工作经验|大专|招1人|03-13发布,岗位要求：◆福利：1、工作时间：周一-周五上午：9:00-12:00下午：13:30-18:00；2、公司提供节日福利、员工互助基金等人文关爱；3、人性的工时=国家法定假日休假+带薪年假+带薪婚/丧/病/产假/陪产假等；4、清晰的规划=以业绩为导向+简单融洽的职场氛围+公开透明畅通的晋升通道；5、健全的福利=六险+住房公积金+劳逸结合的户外团队拓展+季度奖励国内国外游广州市天河区天河北路179号尚层国际商务办公楼9楼全层广州国通信息科技有限公司民营公司150-500人,客服专员/助理网络/在线客服客服互联网专员售后咨询业务客户记录方案服务,广州市天河区天河北路179号尚层国际商务办公楼9楼全层
运维实施实习生,中数通信息有限公司,1.5-2千/月,,广州-天河区|无工作经验|大专|招10人|03-13发布,岗位职责：1.在项目经理带领下，参与项目实施工作，包括系统配置及系统测试；2.在项目经理带领下，编写项目相关文档；3.在项目经理带领下，培训和辅导客户服务人员；4.项目实施完毕后的跟踪回访。岗位要求：1、全日制统招大专及以上学历，计算机或软件工程专业毕业。2、具有良好的沟通、表达和学习能力；3、能够承受一定的项目实施压力。元岗路310号智汇Park创意产业园D座中数通信息有限公司国企1000-5000人,技术支持/维护工程师,元岗路310号智汇Park创意产业园D座
财务实习生（2020届）,广州瀚信通信科技股份有限公司,2-4千/月,,广州|无工作经验|大专|招2人|03-13发布,【岗位职责】1、协助进行员工报销费用的审核、凭证的编制和登帐；2、申请票据，购买发票，协助办理涉税事项，协助发票开具和审核；3、负责与银行、税务、税局等部门的对外联络4、按照国家会计制度的规定协助记账、复帐、报账；5、其他日常财务的配合工作【任职要求】1、财务、会计、审计等相关专业，大专以上学历，毕业前能全职实习2、专业学习能力较强，专业知识扎实，熟练使用财务软件及办公软件；3、工作积极负责、能承受一定工作压力；（实习期满，优秀者可转正）4、具有职业道德和团队精神；【工作地点】广州市天河区广州市天河区元岗横路37号天河慧通产业广场3楼【工作时间】周一至周五，节假日按国家法定节假日实施【岗位薪酬福利】1、实习期：入职之日至提供毕业证之日2、实习期工资：2000元/月~2500元/月（视个人综合能力素质进行定薪）3、表现优秀者可转正4、转正后：按正式员工级别定级定薪；六险一金+带薪年假+生日福利+年度体检+节假日福利+高温补贴+丰富团队建设活动广州市天河区元岗横路37号天河慧通产业广场B4栋3楼4307广州瀚信通信科技股份有限公司民营公司500-1000人,财务助理/文员会计买保险办公环境好,广州市天河区元岗横路37号天河慧通产业广场B4栋3楼4307
京东淘宝运营实习生,广州微卖通信息科技有限公司,2-3千/月,做五休二周末双休弹性工作带薪年假五险一金全勤奖绩效奖金节日福利,广州-天河区|无工作经验|大专|招2人|03-11发布,"职位信息1.协助京东、天猫等电商平台的运营和推广；2.网店日常销售工作，为顾客导购，问题解答；3.接单、打单查单等处理订单及顾客的售后服务；4.网店销售数据和资料整理;5.与客户在线交流,了解客户需求,妥善处理客户投诉；6.日常促销活动维护、平台网站等的页面维护。能力要求1.专科或本科在读，需要全职实习；2.思维敏捷，执行力强，抗压能力强；3.善于学习，有较好的沟通能力和团队协作能力，有上进心；4.能熟练使用excel、ps、ppt等基本办公软件。5.对电子商务有一定的了解，网购重度用户或电子商务专业可优先。我们的优势：1.n多运营们梦寐以求的双休~2.老板和同事们都很nice，可在工作上配合默契，也可在生活中关怀备至~3.创业公司，可放飞你的idea,没有勾心斗角，只期待有梦想的你~4.成熟完整的运营体系，让你360度从菜鸟到大咖完美质变！元岗路慧通产业园A区1318房广州微卖通信息科技有限公司民营公司50-150人",实习生大学/大专应届毕业生电商运营天猫运营淘宝运营京东运营电子商务平台运营,元岗路慧通产业园A区1318房
产品实习生(职位编号：行业拓展部),广州广电运通信息科技有限公司,2-3千/月,,广州-黄埔区|无工作经验|大专|招2人|03-08发布,、负责产品日常情报收集搜集、整理和分析目标市场的竞争对手技术概况和技术特点，并定期出具竞争分析报告，同时通过数据分析与产品设计结合优化现有产品或设计新产品。、、；、、福利待遇：1.在职期间公司统一购买商业保险；2.每天上下班免费班车接送；3.公司自有食堂，享受餐补。科学城科林路9-11号广电运通产业园广州广电运通信息科技有限公司国企1000-5000人,实习生,科学城科林路9-11号广电运通产业园
实习生（助理）,中捷通信有限公司,115元/天,,广州-越秀区|无工作经验|大专|招若干人|03-07发布,一、招标/商贸助理1.主要工作内容：负责招标会务安排，商务文件的处理，招标合同归档，行政事务工作等。2.任职要求：专科学历，专业不限，3.工作地点：广州较场西路21号二、行政/财务助理1.主要工作内容：负责文档或文件的处理，行政后勤事务工作等。2.任职要求：专科学历，专业不限，3.工作地点：广州较场西路21号三、物流助理/订单员1.主要工作内容：负责物流仓库进出货管理，订单管理，配送客服跟踪等工作。2.任职要求：专科学历，物流相关专业有限3.工作地点：广州较场西路21号、机场路、东湖路、燕岭等。（可根据实际安排办公地点）以上岗位薪酬待遇:实习期115元/天，另买意外保险，五天工作制，8:30-17:30，午休2小时。实习表现优秀者将录用，有意者请投递简历并注明意向岗位。较场西路21号中捷通信有限公司国企500-1000人,实习生大学/大专应届毕业生助理实习商务物流信息财务行政,较场西路21号
行政人事助理,东莞市广联通信器材有限公司,4.5-6千/月,,东莞-东城区|无工作经验|大专|招1人|03-04发布,1、员工入职、离职手续办理；2、社会保险增减及缴纳工作；3、宿舍、食堂、车辆所有事务管理；4、办理电信业务、缴纳宽带、电话费用等；5、监督管理全公司考勤情况，严格遵守考勤制度；6、根据公司规划，负责落实、执行招聘计划；7、协助经理进行行政人事管理相关体系建立、优化、实施、监管；8、直属下级员工的绩效考核、工作监管；9、起草简单的制度、申请、通知；10、协助总监、副总处理相关行政事宜；11、协助经理进行相关培训督导及执行；12、处理部门其他日常事宜；13、处理上级临时交代任务。假期时间：每月8-9天假期，均在周末休息。工作时间：上班时间为9:00-18:00，中午休息1.5小时。用餐标准：每天早、中、晚三餐均有阿姨专门做饭。住宿条件：宿舍在小区花园内，步行不用5分钟即可到达办公室。东城中路君豪商业中心1101东莞市广联通信器材有限公司民营公司150-500人,行政专员/助理行政人事助理专员前台文员,东城中路君豪商业中心1101
6K宽带政企呼入客服（桂城包住）,中通信息服务有限公司,4.7-5.7千/月,,佛山|无工作经验|大专|招50人|03-01发布|粤语精通,【工作内容】通过接听电话、互联网线上等方式为移动宽带、政企用户提供咨询问题解答、业务办理、宽带网络故障处理、业务推广营销等服务。【任职要求】1.大专以上学历（已拿到毕业证），非大专以上学历不接收简历，男女不限，专业不限，计算机、网络、信息技术、通信技术、电子商务、软件工程开发、统计等相关专业学历优先考虑；2.工作经验不限，从事过运营商客服或具备宽带装维工作经验者优先考虑。3.对工作有热情，态度诚恳，认真负责，有良好的沟通表达、团队意识、协调能力；4.主动负责，具有良好的客户服务能力，包括沟通理解能力、问题解决能力、服务技巧、业务知识等；5.能适应轮班工作。6.语言要求：能听懂粤语和能说流利的普通话。【工作时间】6-8小时/天，在8:00-22:00时间段内实行轮班制，夜班时段有补贴。月休6-8天，每月上班标准工时为166.64小时。涉及法定节假日上班，按国家规定以三倍工资进行支付。【薪酬待遇】薪酬结构：月均收入：4700-5500元，能力佳者可达6000元或以上福利体系：（1）五险一金：养老保险+生育保险+医疗保险+工伤保险+失业保险+公积金；（2）食宿安排：公司配有员工饭堂和员工宿舍，饭堂价廉物美，任君选择，公司员工宿舍（空调+热水器齐全）；（3）专业培训：参与公司专业的培训体系，持续提升员工学习与成长；（4）带薪假期：享受国家规定各类带薪假期：年假、婚假、产假、看护假等。（5）晋升空间：具备完善的职业晋升平台，入职半年或以上的，即可参加公司开展的管理岗位竞聘，让你体现个人的人生价值。（6）文娱活动：丰富多彩的员工活动，让您在开心的氛围中体现团队协作的力量；（7）其他福利：如高温津贴、节假日慰问金、达标奖、年终奖等等。【工作地点】佛山市南海区桂城桂澜中路（广佛线礌岗地铁站B出口希尔顿花园酒店旁）中国移动客服中心【乘车指引】1.公交站点：承业大厦站，佛山民间金融街站，桂澜海三路口站。2.地铁站点：礌岗地铁站，B出口向希尔顿花园酒店方向行走。南海区农科所路依云天汇旁中国移动客户服务中心中通信息服务有限公司国企5000-10000人,咨询热线/呼叫中心服务人员客服呼入宽带文员实习移动国企包住接听非销售,南海区农科所路依云天汇旁中国移动客户服务中心
外贸跟单员,广州知友通信科技有限公司,3-3.5千/月,,广州-番禺区|无工作经验|大专|招若干人|03-01发布,广州市南浦地铁站恒达产业园广州知友通信科技有限公司民营公司50-150人,业务跟单助理业务跟单,广州市南浦地铁站恒达产业园
